date,end_date,n_days,metric,region,zscore,pct_deviation,severity,description
2025-03-12,2025-03-12,1,channel_txn_count,atm,4.07,43.4,medium,2025-03-12: atm channel txn count peaked at +43% vs. its historical same-weekday baseline on 2025-03-12 (z=4.1).
2025-03-25,2025-03-25,1,region_txn_count,International,4.35,58.7,medium,2025-03-25: International region txn count peaked at +59% vs. its historical same-weekday baseline on 2025-03-25 (z=4.4).
2025-09-08,2025-09-14,7,region_txn_count,West,26.2,156.9,critical,"2025-09-08 to 2025-09-14 (7 days): West region transaction volume spiked to 251 at its peak (2025-09-11, 157% above baseline, z=26.2) alongside an elevated decline rate -- pattern consistent with a fraud attempt or attack concentrated in this region."
2025-09-08,2025-09-14,7,system_total_amount,,27.3,136.5,critical,"2025-09-08 to 2025-09-14 (7 days): system-wide transaction amount peaked at $132,692 on 2025-09-11 (137% above the $56,101 baseline, z=27.3) -- consistent with a broad demand surge (e.g. holiday spending)."
2025-09-08,2025-09-14,7,channel_txn_count,web,22.5,112.5,critical,2025-09-08 to 2025-09-14 (7 days): web channel txn count peaked at +113% vs. its historical same-weekday baseline on 2025-09-11 (z=22.5).
2025-09-08,2025-09-14,7,system_txn_count,,8.85,44.3,critical,2025-09-08 to 2025-09-14 (7 days): system-wide txn count peaked at +44% vs. its historical same-weekday baseline on 2025-09-13 (z=8.9).
2025-10-04,2025-10-04,1,channel_txn_count,phone,4.57,50.0,medium,2025-10-04: phone channel txn count peaked at +50% vs. its historical same-weekday baseline on 2025-10-04 (z=4.6).
2025-11-12,2025-11-12,1,channel_txn_count,pos,-9.57,-89.2,critical,"2025-11-12: pos channel transaction volume collapsed to 10 on its worst day (2025-11-12), 89% below the 93-transaction baseline (peak z=-9.6) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,channel_txn_count,mobile_app,-12.03,-83.8,critical,"2025-11-12: mobile_app channel transaction volume collapsed to 25 on its worst day (2025-11-12), 84% below the 154-transaction baseline (peak z=-12.0) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,system_txn_count,,-8.17,-86.5,critical,"2025-11-12: system-wide transaction volume collapsed to 65 on its worst day (2025-11-12), 86% below the 480-transaction baseline (peak z=-8.2) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,channel_txn_count,phone,-13.31,-86.6,critical,"2025-11-12: phone channel transaction volume collapsed to 6 on its worst day (2025-11-12), 87% below the 45-transaction baseline (peak z=-13.3) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,region_txn_count,South,-7.17,-84.0,high,"2025-11-12: South region transaction volume collapsed to 16 on its worst day (2025-11-12), 84% below the 100-transaction baseline (peak z=-7.2) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,region_txn_count,International,-7.31,-89.9,high,"2025-11-12: International region transaction volume collapsed to 3 on its worst day (2025-11-12), 90% below the 30-transaction baseline (peak z=-7.3) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,region_txn_count,Midwest,-7.05,-85.3,high,"2025-11-12: Midwest region transaction volume collapsed to 15 on its worst day (2025-11-12), 85% below the 102-transaction baseline (peak z=-7.1) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,region_txn_count,Northeast,-17.85,-89.2,critical,"2025-11-12: Northeast region transaction volume collapsed to 14 on its worst day (2025-11-12), 89% below the 130-transaction baseline (peak z=-17.8) -- pattern consistent with a processing outage or service disruption."
2025-11-12,2025-11-12,1,channel_txn_count,atm,-5.49,-83.3,medium,"2025-11-12: atm channel transaction volume collapsed to 5 on its worst day (2025-11-12), 83% below the 30-transaction baseline (peak z=-5.5) -- pattern consistent with a processing outage or service disruption."
2025-11-28,2025-12-01,4,channel_txn_count,web,11.03,55.2,critical,2025-11-28 to 2025-12-01 (4 days): web channel txn count peaked at +55% vs. its historical same-weekday baseline on 2025-11-30 (z=11.0).
2025-11-28,2025-12-02,5,system_total_amount,,15.03,135.1,critical,"2025-11-28 to 2025-12-02 (5 days): system-wide transaction amount peaked at $146,693 on 2025-11-29 (135% above the $62,398 baseline, z=15.0) -- consistent with a broad demand surge (e.g. holiday spending)."
2025-11-28,2025-12-02,5,system_txn_count,,18.05,101.3,critical,2025-11-28 to 2025-12-02 (5 days): system-wide txn count peaked at +101% vs. its historical same-weekday baseline on 2025-11-29 (z=18.1).
2025-11-28,2025-11-30,3,channel_txn_count,phone,6.27,114.9,high,2025-11-28 to 2025-11-30 (3 days): phone channel txn count peaked at +115% vs. its historical same-weekday baseline on 2025-11-28 (z=6.3).
2025-11-28,2025-12-02,5,region_txn_count,South,11.24,84.8,critical,2025-11-28 to 2025-12-02 (5 days): South region txn count peaked at +85% vs. its historical same-weekday baseline on 2025-11-28 (z=11.2).
2025-11-28,2025-12-01,4,channel_txn_count,mobile_app,12.27,106.4,critical,2025-11-28 to 2025-12-01 (4 days): mobile_app channel txn count peaked at +106% vs. its historical same-weekday baseline on 2025-11-28 (z=12.3).
2025-11-28,2025-11-30,3,region_txn_count,West,14.3,107.2,critical,2025-11-28 to 2025-11-30 (3 days): West region txn count peaked at +107% vs. its historical same-weekday baseline on 2025-11-28 (z=14.3).
2025-11-28,2025-12-02,5,region_txn_count,Midwest,12.65,92.6,critical,2025-11-28 to 2025-12-02 (5 days): Midwest region txn count peaked at +93% vs. its historical same-weekday baseline on 2025-11-29 (z=12.6).
2025-11-28,2025-11-29,2,channel_txn_count,atm,4.17,96.8,medium,2025-11-28 to 2025-11-29 (2 days): atm channel txn count peaked at +97% vs. its historical same-weekday baseline on 2025-11-29 (z=4.2).
2025-11-28,2025-12-02,5,region_txn_count,Northeast,15.54,107.2,critical,2025-11-28 to 2025-12-02 (5 days): Northeast region txn count peaked at +107% vs. its historical same-weekday baseline on 2025-11-29 (z=15.5).
2025-11-28,2025-12-02,5,channel_txn_count,pos,16.77,103.1,critical,2025-11-28 to 2025-12-02 (5 days): pos channel txn count peaked at +103% vs. its historical same-weekday baseline on 2025-11-29 (z=16.8).
2025-11-29,2025-11-29,1,region_txn_count,International,7.02,107.5,high,2025-11-29: International region txn count peaked at +108% vs. its historical same-weekday baseline on 2025-11-29 (z=7.0).
2025-12-02,2025-12-02,1,region_txn_count,West,4.63,51.2,medium,2025-12-02: West region txn count peaked at +51% vs. its historical same-weekday baseline on 2025-12-02 (z=4.6).
2025-12-02,2025-12-02,1,region_txn_count,International,6.52,66.1,high,2025-12-02: International region txn count peaked at +66% vs. its historical same-weekday baseline on 2025-12-02 (z=6.5).
2025-12-04,2025-12-04,1,region_txn_count,Northeast,5.77,45.4,high,2025-12-04: Northeast region txn count peaked at +45% vs. its historical same-weekday baseline on 2025-12-04 (z=5.8).
2025-12-04,2025-12-04,1,channel_txn_count,mobile_app,4.26,32.2,medium,2025-12-04: mobile_app channel txn count peaked at +32% vs. its historical same-weekday baseline on 2025-12-04 (z=4.3).
2025-12-04,2025-12-04,1,channel_txn_count,phone,5.66,50.0,high,2025-12-04: phone channel txn count peaked at +50% vs. its historical same-weekday baseline on 2025-12-04 (z=5.7).
2025-12-04,2025-12-04,1,region_txn_count,Midwest,4.81,30.0,medium,2025-12-04: Midwest region txn count peaked at +30% vs. its historical same-weekday baseline on 2025-12-04 (z=4.8).
2025-12-04,2025-12-04,1,system_txn_count,,7.51,37.6,high,2025-12-04: system-wide txn count peaked at +38% vs. its historical same-weekday baseline on 2025-12-04 (z=7.5).
2025-12-04,2025-12-04,1,system_total_amount,,9.32,59.9,critical,"2025-12-04: system-wide transaction amount peaked at $92,769 on 2025-12-04 (60% above the $58,026 baseline, z=9.3) -- consistent with a broad demand surge (e.g. holiday spending)."
2025-12-04,2025-12-04,1,channel_txn_count,web,10.37,51.9,critical,2025-12-04: web channel txn count peaked at +52% vs. its historical same-weekday baseline on 2025-12-04 (z=10.4).
2025-12-11,2025-12-11,1,channel_txn_count,pos,5.97,48.2,high,2025-12-11: pos channel txn count peaked at +48% vs. its historical same-weekday baseline on 2025-12-11 (z=6.0).
2025-12-23,2025-12-23,1,region_txn_count,International,4.11,98.9,medium,2025-12-23: International region txn count peaked at +99% vs. its historical same-weekday baseline on 2025-12-23 (z=4.1).
2026-03-13,2026-03-13,1,system_total_amount,,-5.42,-27.1,medium,2026-03-13: system-wide total amount peaked at -27% vs. its historical same-weekday baseline on 2026-03-13 (z=-5.4).
2026-04-04,2026-04-04,1,region_txn_count,International,4.43,52.1,medium,2026-04-04: International region txn count peaked at +52% vs. its historical same-weekday baseline on 2026-04-04 (z=4.4).
2026-04-28,2026-04-28,1,region_txn_count,International,-4.54,-40.8,medium,2026-04-28: International region txn count peaked at -41% vs. its historical same-weekday baseline on 2026-04-28 (z=-4.5).
2026-05-02,2026-05-02,1,region_txn_count,West,4.06,34.5,medium,2026-05-02: West region txn count peaked at +35% vs. its historical same-weekday baseline on 2026-05-02 (z=4.1).
2026-05-03,2026-05-04,2,region_txn_count,International,4.31,39.2,medium,2026-05-03 to 2026-05-04 (2 days): International region txn count peaked at +39% vs. its historical same-weekday baseline on 2026-05-03 (z=4.3).
